Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D29,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,132.374,-151.307,0.0,bottom
D3,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,37.644,-93.727,0.0,bottom
D30,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,140.2515,-93.72825,0.0,bottom
D31,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,134.1615,-55.62825,0.0,bottom
D32,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,149.384,-112.817,0.0,bottom
D33,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,161.914,-132.657,0.0,bottom
D34,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,168.1815,-112.81825,0.0,bottom
D35,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,174.397557,-136.085109,30.0,bottom
D36,Schottky 1N5817,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,32.1115,-131.41825,0.0,bottom
D4,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,43.5615,-131.06825,0.0,bottom
D5,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,42.531699,-112.935035,0.0,bottom
D6,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,49.774,-55.537,180.0,top
D7,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,68.53275,-125.1145,90.0,bottom
D8,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,58.544,-74.787,0.0,bottom
D9,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,63.904,-93.697,0.0,bottom
LED1,LED_SK6812MINI,LED_SK6812MINI,30.704,-42.078,0.0,bottom
LED10,LED_SK6812MINI,LED_SK6812MINI,68.784,-42.078,0.0,bottom
LED11,LED_SK6812MINI,LED_SK6812MINI,73.549,-99.218,180.0,bottom
LED12,LED_SK6812MINI,LED_SK6812MINI,78.304,-61.118,180.0,bottom
LED13,LED_SK6812MINI,LED_SK6812MINI,80.68525,-118.248,0.0,bottom
LED14,LED_SK6812MINI,LED_SK6812MINI,83.064,-80.158,0.0,bottom
LED15,LED_SK6812MINI,LED_SK6812MINI,87.824,-42.078,0.0,bottom
LED16,LED_SK6812MINI,LED_SK6812MINI,92.589,-99.218,180.0,bottom
LED17,LED_SK6812MINI,LED_SK6812MINI,97.344,-61.118,180.0,bottom
LED18,LED_SK6812MINI,LED_SK6812MINI,102.104,-80.158,0.0,bottom
LED19,LED_SK6812MINI,LED_SK6812MINI,106.864,-42.078,0.0,bottom
LED2,LED_SK6812MINI,LED_SK6812MINI,35.464,-61.118,180.0,bottom
LED20,LED_SK6812MINI,LED_SK6812MINI,115.949,-136.263,180.0,bottom
LED21,LED_SK6812MINI,LED_SK6812MINI,104.48525,-118.248,0.0,bottom
LED22,LED_SK6812MINI,LED_SK6812MINI,111.629,-99.218,180.0,bottom
LED23,LED_SK6812MINI,LED_SK6812MINI,116.384,-61.118,180.0,bottom
LED24,LED_SK6812MINI,LED_SK6812MINI,121.144,-80.158,0.0,bottom
LED25,LED_SK6812MINI,LED_SK6812MINI,125.904,-42.078,0.0,bottom
LED26,LED_SK6812MINI,LED_SK6812MINI,133.04525,-118.248,0.0,bottom
LED27,LED_SK6812MINI,LED_SK6812MINI,130.669,-99.218,180.0,bottom
LED28,LED_SK6812MINI,LED_SK6812MINI,135.424,-61.118,180.0,bottom
LED29,LED_SK6812MINI,LED_SK6812MINI,140.699,-136.263,180.0,bottom
LED3,LED_SK6812MINI,LED_SK6812MINI,37.84775,-80.168,0.0,bottom
LED30,LED_SK6812MINI,LED_SK6812MINI,140.184,-80.158,0.0,bottom
LED31,LED_SK6812MINI,LED_SK6812MINI,144.944,-42.078,0.0,bottom
LED32,LED_SK6812MINI,LED_SK6812MINI,149.709,-99.218,180.0,bottom
LED33,LED_SK6812MINI,LED_SK6812MINI,159.224,-118.248,0.0,bottom
LED34,LED_SK6812MINI,LED_SK6812MINI,168.749,-99.218,180.0,bottom
LED35,LED_SK6812MINI,LED_SK6812MINI,187.2555,-125.347701,30.0,bottom
LED4,LED_SK6812MINI,LED_SK6812MINI,33.08525,-118.248,0.0,bottom
LED5,LED_SK6812MINI,LED_SK6812MINI,42.61025,-99.218,180.0,bottom
LED6,LED_SK6812MINI,LED_SK6812MINI,49.744,-42.078,0.0,bottom
LED7,LED_SK6812MINI,LED_SK6812MINI,56.88525,-118.248,0.0,bottom
LED8,LED_SK6812MINI,LED_SK6812MINI,59.264,-61.118,180.0,bottom
LED9,LED_SK6812MINI,LED_SK6812MINI,64.024,-80.158,0.0,bottom
SW1,BOOT button,Button_TL3342,95.004,-144.517,180.0,bottom
begin1,C,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,128.684,-143.367,270.0,bottom
end1,C,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,101.244,-33.787,90.0,bottom
